Feature,Importance
driverrating,8.215490698066526
ageofvehicle,7.672729986159423
basepolicy,7.513436032462393
weekofmonth,6.519089621314419
hard_brakes_per_trip,6.409090945258637
policytype,5.896100177394067
fault,5.881838381972004
high_urban_driving,5.844650849947041
ageofpolicyholder,5.406006447818183
vehicleprice,5.072450578697784
numberofsuppliments,4.7845909903838395
weekofmonthclaimed,4.756924728151651
pastnumberofclaims,4.50030056737359
harsh_cornering_events,4.003352391781777
rapid_acceleration_events,3.742972862132894
high_claim_history,3.2425977977381466
high_night_driving,3.209292033969747
harsh_acceleration_risk,1.7914945336750427
vehiclecategory,1.513066568738888
deductible,0.5566839105630754
year,0.53523074772181
addresschange_claim,0.3143829832739662
month,0.30594240946079254
make,0.18697674820994448
night_driving_ratio,0.18538194343811248
avg_speed_kmph,0.1640778464597209
urban_driving_ratio,0.16347895381492533
dayofweek,0.15725929118825663
maritalstatus,0.14512992012336054
age,0.13461624271172445
monthclaimed,0.13137068916037348
idle_time_minutes,0.13047868551209643
accidentarea,0.1288654517261883
harsh_driving_index,0.1272240696115412
dayofweekclaimed,0.12356816540379659
distance_km,0.10615479973329855
max_speed_kmph,0.08929538545775595
trip_duration_minutes,0.0758572359348546
risk_feature,0.07287448508157941
policereportfiled,0.05837303235659474
speed_volatility,0.04189160997300023
numberofcars,0.037888090303125205
agenttype,0.012457411910167603
sex,0.010607968484243106
harsh_braking_risk,0.00942115064844037
days_policy_claim,0.008690511355089437
days_policy_accident,0.004511032595575003
harsh_cornering_risk,0.004064310843561968
witnesspresent,0.0017687239069558791
speeding_risk,0.0
fast_claim,0.0
claim_driving_risk,0.0
